Month,Region,Headquarter,Call Average
9,Delhi,Ambala,788
9,Delhi,Amritsar,801
9,Delhi,Bharatpur,556
9,Delhi,Bhatinda,721
9,Delhi,Delhi,909
9,Delhi,Gurgaon,710
9,Delhi,Hisar,741
9,Delhi,Jaipur,720
9,Delhi,Jalandhar,939
9,Delhi,Jammu,784
9,Delhi,Jodhpur,699
9,Delhi,Karnal,818
9,Delhi,Kota,297
9,Delhi,Ludhiana,908
9,Delhi,Mandi,699
9,Delhi,Patiala,797
9,Delhi,Rohtak,603
9,Delhi,Sikar,80
9,Delhi,Sri Ganganagar,478
9,Delhi,Srinagar,729
9,Delhi,Udaipur,644
9,Kolkata,Balasore,573
9,Kolkata,Bhagalpur,746
9,Kolkata,Burdwan,9
9,Kolkata,CUTTACK,531
9,Kolkata,Dhanbad,588
9,Kolkata,Dharbanga,741
9,Kolkata,Dibrugarh,540
9,Kolkata,Gauhati,600
9,Kolkata,Gaya,631
9,Kolkata,Jamshedpur,426
9,Kolkata,Motihari,597
9,Kolkata,Muzaffarpur,956
9,Kolkata,Nagaon,494
9,Kolkata,Patna - 1,879
9,Kolkata,Patna - 2,632
9,Kolkata,Purnea,707
9,Kolkata,Ranchi - 1,569
9,Kolkata,Ranchi - 2,508
9,Kolkata,Silchar,334
9,Lucknow,Agra,986
9,Lucknow,Aligarh,767
9,Lucknow,Allahabad,790
9,Lucknow,Azamgarh,727
9,Lucknow,Bareilly,714
9,Lucknow,Dehradun,878
9,Lucknow,Faizabad,584
9,Lucknow,Ghaziabad,987
9,Lucknow,Ghazipur / Balia,797
9,Lucknow,Gorakhpur -1,775
9,Lucknow,Gorakhpur -2,788
9,Lucknow,Haldwani,644
9,Lucknow,Jhansi,783
9,Lucknow,Kanpur - 1,639
9,Lucknow,Kanpur - 2,773
9,Lucknow,Lucknow - 1,768
9,Lucknow,Lucknow-2,838
9,Lucknow,Meerut,894
9,Lucknow,Moradabad,928
9,Lucknow,Muzaffarnagar,1088
9,Lucknow,Varanasi-1,891
9,Lucknow,Varanasi-2,857
10,Delhi,Ambala,672
10,Delhi,Amritsar,697
10,Delhi,Bharatpur,577
10,Delhi,Bhatinda,617
10,Delhi,Delhi,677
10,Delhi,Gurgaon,737
10,Delhi,Hisar,676
10,Delhi,Jaipur,940
10,Delhi,Jalandhar,739
10,Delhi,Jammu,611
10,Delhi,Jodhpur,521
10,Delhi,Karnal,647
10,Delhi,Kota,294
10,Delhi,Ludhiana,867
10,Delhi,Mandi,616
10,Delhi,Patiala,633
