Month,Region,Head,Call Average,Performance,Pob
8,Kolkata,Bhagalpur,29.56521739,80.35431289,12.69079146
8,Kolkata,Burdwan,,,
8,Kolkata,CUTTACK,22.33333333,98.54993938,57.17170777
8,Kolkata,Dhanbad,32.36363636,98.07135365,7.786189268
8,Kolkata,Dharbanga,26.86363636,93.27785739,16.18220814
8,Kolkata,Dibrugarh,27.10526316,59.01139157,11.19571143
8,Kolkata,Gauhati,24.33333333,92.68336205,7.594906295
8,Kolkata,Gaya,29.43478261,122.4505111,10.27497654
8,Kolkata,Jamshedpur,30.04347826,47.84670311,46.52059979
8,Kolkata,Motihari,31.22727273,72.21273951,18.63099261
8,Kolkata,Muzaffarpur,25.47368421,93.54775301,5.595349987
8,Kolkata,Nagaon,24.5,68.83566924,19.10592123
8,Kolkata,Patna - 1,35.95833333,102.8238469,21.62402902
8,Kolkata,Patna - 2,25.33333333,102.9805473,8.122445113
8,Kolkata,Purnea,22.91304348,88.05464265,15.28109074
8,Kolkata,Ranchi - 1,29.65217391,153.5121143,17.45402847
8,Kolkata,Ranchi - 2,24.2,62.72326428,2.253004891
8,Kolkata,Silchar,9.555555556,52.19621382,4.591333909
8,Lucknow,Agra,37.38095238,120.6435217,50.7179303
8,Lucknow,Aligarh,38.13636364,68.74617093,139.3652437
8,Lucknow,Allahabad,31.95454545,117.7204001,91.17059449
8,Lucknow,Azamgarh,28.80952381,119.0863152,57.71022203
8,Lucknow,Bareilly,27.76190476,88.83736632,22.21994825
8,Lucknow,Dehradun,34.2,112.4795887,70.05692996
8,Lucknow,Faizabad,27.7,133.7871007,89.40123708
8,Lucknow,Ghaziabad,42.73913043,108.1821145,99.48020464
8,Lucknow,Ghazipur / Balia,32,117.978799,49.99325514
8,Lucknow,Gorakhpur -1,32.89473684,111.7315867,145.4825288
8,Lucknow,Gorakhpur -2,31.5,139.7419138,36.64786954
8,Lucknow,Haldwani,28.5,62.76520452,5.225573674
8,Lucknow,Jhansi,32.85714286,97.46571772,51.53646676
8,Lucknow,Kanpur - 1,23.4,82.71872272,8.658005223
8,Lucknow,Kanpur - 2,32.59090909,133.8786378,80.67716212
8,Lucknow,Lucknow - 1,32.6,236.4994414,25.8587316
8,Lucknow,Lucknow-2,36.5,1.662650106,33.03801048
8,Lucknow,Meerut,36.59090909,110.2771339,80.32043064
8,Lucknow,Moradabad,35.56521739,102.5385835,39.54274922
8,Lucknow,Muzaffarnagar,50.95238095,128.7276601,47.9563824
8,Lucknow,Varanasi-1,47.47368421,161.9361211,75.95185079
8,Lucknow,Varanasi-2,28.85,106.1718488,55.67891848
9,Delhi,Ambala,31.52,101.7314972,28.89623516
9,Delhi,Amritsar,32.04,120.8058534,64.22794991
9,Delhi,Bharatpur,22.24,,
9,Delhi,Bhatinda,28.84,102.8377208,43.29932728
9,Delhi,Delhi,36.36,95.56889945,10.39606007
9,Delhi,Gurgaon,35.5,100.0957771,17.19126673
9,Delhi,Hisar,29.64,118.9936961,73.72654965
9,Delhi,Jaipur,30,69.02595682,31.2766715
9,Delhi,Jalandhar,37.56,103.6512536,61.31378352
9,Delhi,Jammu,31.36,56.08229752,36.77968675
9,Delhi,Jodhpur,27.96,112.5369788,44.14157107
9,Delhi,Karnal,32.72,100.5851427,58.75856184
9,Delhi,Kota,,37.70015785,10.01530859
9,Delhi,Ludhiana,36.32,179.2468593,57.46292201
9,Delhi,Mandi,27.96,30.99206158,17.99891955
9,Delhi,Patiala,31.88,63.39460309,23.72674547
9,Delhi,Rohtak,30.15,69.96783146,41.11285333
9,Delhi,Sikar,,,
9,Delhi,Sri Ganganagar,19.91666667,97.32456141,28.75157596
9,Delhi,Srinagar,30.375,103.0730529,32.25206562
9,Delhi,Udaipur,25.76,52.30761607,17.4341066
9,Kolkata,Balasore,24.91304348,67.80919419,37.32878842
9,Kolkata,Bhagalpur,32.43478261,59.98522355,10.89909158
9,Kolkata,Burdwan,,#NAME?,
9,Kolkata,CUTTACK,23.08695652,65.34437653,44.95959367
9,Kolkata,Dhanbad,28,65.87778361,7.625607479
9,Kolkata,Dharbanga,32.2173913,91.26116914,15.08358638
9,Kolkata,Dibrugarh,28.42105263,38.01912325,8.822383332
9,Kolkata,Gauhati,27.27272727,36.20521406,8.608559472
9,Kolkata,Gaya,27.43478261,87.43306243,15.59293147
9,Kolkata,Jamshedpur,26.625,101.1933861,38.08489521
9,Kolkata,Motihari,31.42105263,94.51730939,21.03492465
9,Kolkata,Muzaffarpur,41.56521739,97.97984569,25.02363135
9,Kolkata,Nagaon,24.7,66.40944571,19.80102535
9,Kolkata,Patna - 1,38.2173913,49.16168781,17.99453132
9,Kolkata,Patna - 2,30.0952381,88.21866312,11.20943375
9,Kolkata,Purnea,29.45833333,99.28656139,19.27340081
